sport,title,event_id,market_id,market_name,liquidity,volume,end_date,token_id,outcome
epl,Burnley FC vs. AFC Bournemouth,238391,1472798,Will Burnley FC win on 2026-03-14?,209141.3145,5919.289236999999,2026-03-14T15:00:00Z,109152974278914309825976687753982091274821874238685518373651300699641397848099,YES
epl,Burnley FC vs. AFC Bournemouth,238391,1472798,Will Burnley FC win on 2026-03-14?,209141.3145,5919.289236999999,2026-03-14T15:00:00Z,44598875513498128071998229478501705769787909163511546277495421591701227585569,NO
epl,Burnley FC vs. AFC Bournemouth,238391,1472802,Will Burnley FC vs. AFC Bournemouth end in a draw?,197642.8248,2944.229825,2026-03-14T15:00:00Z,17736914367404999343648531144556282129594490003374816079199665702086629544421,YES
epl,Burnley FC vs. AFC Bournemouth,238391,1472802,Will Burnley FC vs. AFC Bournemouth end in a draw?,197642.8248,2944.229825,2026-03-14T15:00:00Z,75929088169829596739379126124196056861324921192581905032835663190447638563603,NO
epl,Burnley FC vs. AFC Bournemouth,238391,1472806,Will AFC Bournemouth win on 2026-03-14?,205491.4402,20447.92806800001,2026-03-14T15:00:00Z,81758482510199965664815113301671182134960066946008164413357847393613528084481,YES
epl,Burnley FC vs. AFC Bournemouth,238391,1472806,Will AFC Bournemouth win on 2026-03-14?,205491.4402,20447.92806800001,2026-03-14T15:00:00Z,82299005586956065182947260012302181607744529215035397599984334065955538884689,NO
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472817,Will Sunderland AFC win on 2026-03-14?,208547.7742,16476.759805000012,2026-03-14T15:00:00Z,6190328599949178026456155379133994822125082843178668326463864782746000623463,YES
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472817,Will Sunderland AFC win on 2026-03-14?,208547.7742,16476.759805000012,2026-03-14T15:00:00Z,3751037991664819782580524476726799362948423824459356468333111787784880987018,NO
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472819,Will Sunderland AFC vs. Brighton & Hove Albion FC end in a draw?,182556.7453,7010.323868000007,2026-03-14T15:00:00Z,109098176162907973397131998355437106601623904022953311794677222299986215276760,YES
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472819,Will Sunderland AFC vs. Brighton & Hove Albion FC end in a draw?,182556.7453,7010.323868000007,2026-03-14T15:00:00Z,89229320668244336029276564263857491991406119589470586046598931794969274201964,NO
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472823,Will Brighton & Hove Albion FC win on 2026-03-14?,207369.7876,9708.270424000006,2026-03-14T15:00:00Z,111859348131961884875890766530169403030081752785929138796426339988878608169499,YES
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472823,Will Brighton & Hove Albion FC win on 2026-03-14?,207369.7876,9708.270424000006,2026-03-14T15:00:00Z,106254738286082087130939193758662197486523172474447400860746598712064528340121,NO
epl,Chelsea FC vs. Newcastle United FC,238406,1472836,Will Chelsea FC win on 2026-03-14?,233250.4471,58021.456924999846,2026-03-14T17:30:00Z,86033427677252416086751450370475670590824726105322635674860437641344282902660,YES
epl,Chelsea FC vs. Newcastle United FC,238406,1472836,Will Chelsea FC win on 2026-03-14?,233250.4471,58021.456924999846,2026-03-14T17:30:00Z,34220741429594258097073024559653293456941151791855242282623448356444769966538,NO
