timestamp,title,side,outcome,price,size,slug,eventSlug,proxyWallet,asset,conditionId
12/12/2025 17:23:04,Russia x Ukraine ceasefire by end of 2026?,BUY,Yes,0.5,1512.81,russia-x-ukraine-ceasefire-before-2027,russia-x-ukraine-ceasefire-before-2027,0xa39c488ea8269609aea27f5f8486044d839908bc,104071616575689490708756996503755160411785604144351427331378560378097635400347,0xaeea5f917fc5746387b5f9c0a4263dba035dbb3f0ac6ad72bf92183d21e26739
12/12/2025 15:01:32,Russia x Ukraine ceasefire by end of 2026?,BUY,Yes,0.51,1584.0,russia-x-ukraine-ceasefire-before-2027,russia-x-ukraine-ceasefire-before-2027,0xa39c488ea8269609aea27f5f8486044d839908bc,104071616575689490708756996503755160411785604144351427331378560378097635400347,0xaeea5f917fc5746387b5f9c0a4263dba035dbb3f0ac6ad72bf92183d21e26739
05/12/2025 18:55:49,Russia x Ukraine ceasefire by end of 2026?,BUY,Yes,0.48,2000.0,russia-x-ukraine-ceasefire-before-2027,russia-x-ukraine-ceasefire-before-2027,0xa39c488ea8269609aea27f5f8486044d839908bc,104071616575689490708756996503755160411785604144351427331378560378097635400347,0xaeea5f917fc5746387b5f9c0a4263dba035dbb3f0ac6ad72bf92183d21e26739
30/11/2025 16:11:48,Russia x Ukraine ceasefire in 2025?,SELL,No,0.9,1000.0,russia-x-ukraine-ceasefire-in-2025,russia-x-ukraine-ceasefire-in-2025,0xa39c488ea8269609aea27f5f8486044d839908bc,42351579455604873042957090441032286075880144797259231030267680078160718556927,0x8ee2f1640386310eb5e7ffa596ba9335f2d324e303d21b0dfea6998874445791
24/11/2025 10:43:49,Russia x Ukraine ceasefire in 2025?,BUY,No,0.88,1000.0,russia-x-ukraine-ceasefire-in-2025,russia-x-ukraine-ceasefire-in-2025,0xa39c488ea8269609aea27f5f8486044d839908bc,42351579455604873042957090441032286075880144797259231030267680078160718556927,0x8ee2f1640386310eb5e7ffa596ba9335f2d324e303d21b0dfea6998874445791
23/11/2025 09:51:11,Russia x Ukraine ceasefire by end of 2026?,BUY,Yes,0.51,1000.0,russia-x-ukraine-ceasefire-before-2027,russia-x-ukraine-ceasefire-before-2027,0xa39c488ea8269609aea27f5f8486044d839908bc,104071616575689490708756996503755160411785604144351427331378560378097635400347,0xaeea5f917fc5746387b5f9c0a4263dba035dbb3f0ac6ad72bf92183d21e26739
18/11/2025 14:49:45,Fed decreases interest rates by 25 bps after December 2025 meeting?,BUY,Yes,0.48,1000.0,fed-decreases-interest-rates-by-25-bps-after-december-2025-meeting,fed-decision-in-december,0xa39c488ea8269609aea27f5f8486044d839908bc,87769991026114894163580777793845523168226980076553814689875238288185044414090,0xcb111226a8271fed0c71bb5ec1bd67b2a4fd72f1eb08466e2180b9efa99d3f32
25/09/2025 12:44:07,Russia x Ukraine ceasefire by October 31?,BUY,No,0.96,2000.0,russia-x-ukraine-ceasefire-by-october-31,russia-x-ukraine-ceasefire-by-october-31,0xa39c488ea8269609aea27f5f8486044d839908bc,78492001513126765215977927465676404909312251129438234019964234079489804111350,0x63c6bddf7681c31a5a6be4a54bc7c682f7d171be45eae0178ff09d60fee21ef2
14/09/2025 17:46:32,Russia x Ukraine ceasefire by end of 2026?,BUY,Yes,0.48,1000.0,russia-x-ukraine-ceasefire-before-2027,russia-x-ukraine-ceasefire-before-2027,0xa39c488ea8269609aea27f5f8486044d839908bc,104071616575689490708756996503755160411785604144351427331378560378097635400347,0xaeea5f917fc5746387b5f9c0a4263dba035dbb3f0ac6ad72bf92183d21e26739
22/08/2025 15:46:32,Fed decreases interest rates by 25 bps after September 2025 meeting?,BUY,Yes,0.81,1000.0,fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting,fed-decision-in-september,0xa39c488ea8269609aea27f5f8486044d839908bc,56831000532202254811410354120402056896323359630546371545035370679912675847818,0x9f41a3e4a2ef548cf207c22a48dbaf73e28dda5ec014c145217f428aaf3769e3
