sport,title,event_id,market_id,market_name,liquidity,volume,end_date,token_id,outcome,price
epl,Burnley FC vs. AFC Bournemouth,238391,1472798,Will Burnley FC win on 2026-03-14?,207950.6438,3737.9708590000014,2026-03-14T15:00:00Z,109152974278914309825976687753982091274821874238685518373651300699641397848099,YES,
epl,Burnley FC vs. AFC Bournemouth,238391,1472798,Will Burnley FC win on 2026-03-14?,207950.6438,3737.9708590000014,2026-03-14T15:00:00Z,44598875513498128071998229478501705769787909163511546277495421591701227585569,NO,
epl,Burnley FC vs. AFC Bournemouth,238391,1472802,Will Burnley FC vs. AFC Bournemouth end in a draw?,185603.8663,2833.229825,2026-03-14T15:00:00Z,17736914367404999343648531144556282129594490003374816079199665702086629544421,YES,
epl,Burnley FC vs. AFC Bournemouth,238391,1472802,Will Burnley FC vs. AFC Bournemouth end in a draw?,185603.8663,2833.229825,2026-03-14T15:00:00Z,75929088169829596739379126124196056861324921192581905032835663190447638563603,NO,
epl,Burnley FC vs. AFC Bournemouth,238391,1472806,Will AFC Bournemouth win on 2026-03-14?,186012.2769,19418.604037,2026-03-14T15:00:00Z,81758482510199965664815113301671182134960066946008164413357847393613528084481,YES,
epl,Burnley FC vs. AFC Bournemouth,238391,1472806,Will AFC Bournemouth win on 2026-03-14?,186012.2769,19418.604037,2026-03-14T15:00:00Z,82299005586956065182947260012302181607744529215035397599984334065955538884689,NO,
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472817,Will Sunderland AFC win on 2026-03-14?,188585.401,13148.766740000006,2026-03-14T15:00:00Z,6190328599949178026456155379133994822125082843178668326463864782746000623463,YES,
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472817,Will Sunderland AFC win on 2026-03-14?,188585.401,13148.766740000006,2026-03-14T15:00:00Z,3751037991664819782580524476726799362948423824459356468333111787784880987018,NO,
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472819,Will Sunderland AFC vs. Brighton & Hove Albion FC end in a draw?,185471.4214,6241.364923000006,2026-03-14T15:00:00Z,109098176162907973397131998355437106601623904022953311794677222299986215276760,YES,
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472819,Will Sunderland AFC vs. Brighton & Hove Albion FC end in a draw?,185471.4214,6241.364923000006,2026-03-14T15:00:00Z,89229320668244336029276564263857491991406119589470586046598931794969274201964,NO,
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472823,Will Brighton & Hove Albion FC win on 2026-03-14?,195881.5616,7820.38021,2026-03-14T15:00:00Z,111859348131961884875890766530169403030081752785929138796426339988878608169499,YES,
epl,Sunderland AFC vs. Brighton & Hove Albion FC,238398,1472823,Will Brighton & Hove Albion FC win on 2026-03-14?,195881.5616,7820.38021,2026-03-14T15:00:00Z,106254738286082087130939193758662197486523172474447400860746598712064528340121,NO,
epl,Chelsea FC vs. Newcastle United FC,238406,1472836,Will Chelsea FC win on 2026-03-14?,206923.7781,50536.73410899994,2026-03-14T17:30:00Z,86033427677252416086751450370475670590824726105322635674860437641344282902660,YES,
epl,Chelsea FC vs. Newcastle United FC,238406,1472836,Will Chelsea FC win on 2026-03-14?,206923.7781,50536.73410899994,2026-03-14T17:30:00Z,34220741429594258097073024559653293456941151791855242282623448356444769966538,NO,
epl,Chelsea FC vs. Newcastle United FC,238406,1472840,Will Chelsea FC vs. Newcastle United FC end in a draw?,168945.8394,6593.473993999998,2026-03-14T17:30:00Z,73644540400340051100413239419397966976965664001220634024759989419358258209918,YES,
epl,Chelsea FC vs. Newcastle United FC,238406,1472840,Will Chelsea FC vs. Newcastle United FC end in a draw?,168945.8394,6593.473993999998,2026-03-14T17:30:00Z,70850810052084820172506975634729628973647453453896772948535078508258332567945,NO,
epl,Chelsea FC vs. Newcastle United FC,238406,1472844,Will Newcastle United FC win on 2026-03-14?,176957.6819,9434.834305,2026-03-14T17:30:00Z,79051789373886457546553944638473613045587191226843744294349583359740412740625,YES,
epl,Chelsea FC vs. Newcastle United FC,238406,1472844,Will Newcastle United FC win on 2026-03-14?,176957.6819,9434.834305,2026-03-14T17:30:00Z,38655977207203753870282755870886836280775174509583895355149277257227776293986,NO,
epl,Arsenal FC vs. Everton FC,238410,1472853,Will Arsenal FC win on 2026-03-14?,203879.1549,23509.18127300001,2026-03-14T17:30:00Z,38994064194073482228229509993277184534677234863592159586324882995065445332711,YES,
epl,Arsenal FC vs. Everton FC,238410,1472853,Will Arsenal FC win on 2026-03-14?,203879.1549,23509.18127300001,2026-03-14T17:30:00Z,65107413243926488023479269111195358219087194251948719321390217956437918610949,NO,
epl,Arsenal FC vs. Everton FC,238410,1472856,Will Arsenal FC vs. Everton FC end in a draw?,174674.2298,6239.7868659999995,2026-03-14T17:30:00Z,106992113187483802472525853609722343519900079892023158177602461995907425337697,YES,
epl,Arsenal FC vs. Everton FC,238410,1472856,Will Arsenal FC vs. Everton FC end in a draw?,174674.2298,6239.7868659999995,2026-03-14T17:30:00Z,91359477560390760441854731057178802599755327341046283588833996829775565158304,NO,
epl,Arsenal FC vs. Everton FC,238410,1472860,Will Everton FC win on 2026-03-14?,182519.1509,25185.624681999998,2026-03-14T17:30:00Z,43604923306352456348302507504058451331490120371228577268768753674967093388529,YES,
epl,Arsenal FC vs. Everton FC,238410,1472860,Will Everton FC win on 2026-03-14?,182519.1509,25185.624681999998,2026-03-14T17:30:00Z,63910002058664248584831531522716775853516173588097169072490655796506139398040,NO,
epl,West Ham United FC vs. Manchester City FC,238417,1472870,Will West Ham United FC win on 2026-03-14?,176676.968,14900.378785000004,2026-03-14T20:00:00Z,92825265075799673067651598133667095451197237682299985513689996841118596412360,YES,
epl,West Ham United FC vs. Manchester City FC,238417,1472870,Will West Ham United FC win on 2026-03-14?,176676.968,14900.378785000004,2026-03-14T20:00:00Z,8359825774148746572088345978275454855859473977228798843114327800492485904998,NO,
epl,West Ham United FC vs. Manchester City FC,238417,1472871,Will West Ham United FC vs. Manchester City FC end in a draw?,181782.8749,10091.099114,2026-03-14T20:00:00Z,52897666716753511378027594732307969461017240907137020287869911227782989125449,YES,
epl,West Ham United FC vs. Manchester City FC,238417,1472871,Will West Ham United FC vs. Manchester City FC end in a draw?,181782.8749,10091.099114,2026-03-14T20:00:00Z,82800638025904309087579734586058289663668396199701874902606714160037753969982,NO,
epl,West Ham United FC vs. Manchester City FC,238417,1472873,Will Manchester City FC win on 2026-03-14?,235561.997,90815.19458799993,2026-03-14T20:00:00Z,110162709167587205216232528451528728935099976071721615825821885124373392450388,YES,
