user,user_address,timestamp,title,side,outcome,price,size,slug,eventSlug,proxyWallet,asset,conditionId,transactionHash
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,22/02/2026 15:10:42,Nottingham Forest FC vs. Liverpool FC: O/U 3.5,BUY,Under,0.94,30.0,epl-not-liv-2026-02-22-total-3pt5,epl-not-liv-2026-02-22-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,114165284650382526106749380004001833892436326169867543824463139482465957413820,0x6935f2b1b3d47fc66c57d1cf755ed2dbafb68ddb34413d2d32b93299210a0920,0xc9831f670a6c27c95ef7cf9204b18a1855cb7471fd7dab4b0c995d06dea946bd
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,22/02/2026 13:46:00,Sunderland AFC vs. Fulham FC: O/U 1.5,BUY,Over,0.73,30.0,epl-sun-ful-2026-02-22-total-1pt5,epl-sun-ful-2026-02-22-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,56801363411183780040830499185830974450076943135400664178205768340478809674736,0x79cbddc16615e9b3865fe02900107a0e73bacfeb75f32617f2eb000dfb9ebb23,0x03a6d2d81f32480794476e9d18b6de70f06c7b44508b09ede8978eaeeaf0d711
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,22/02/2026 13:45:02,Crystal Palace FC vs. Wolverhampton Wanderers FC: O/U 4.5,BUY,Under,0.87,5.0,epl-cry-wol-2026-02-22-total-4pt5,epl-cry-wol-2026-02-22-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,98081524649372238021323593358643813586107713379488838133700770930722623670652,0x88dfa3e696e59468ee76005c076f3e9c29624d3beecba4339d69429de353718b,0x3aa65187698a2c261cc21dc90057e6ddd3e162c966d2dfc6e13c6f41d88e8320
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,22/02/2026 13:44:48,Crystal Palace FC vs. Wolverhampton Wanderers FC: O/U 4.5,BUY,Under,0.87,15.0,epl-cry-wol-2026-02-22-total-4pt5,epl-cry-wol-2026-02-22-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,98081524649372238021323593358643813586107713379488838133700770930722623670652,0x88dfa3e696e59468ee76005c076f3e9c29624d3beecba4339d69429de353718b,0xfeea50fecbbac963ca45a2470cc81b0dac5743937785b9efc5faa0d776ecc1c4
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,22/02/2026 13:43:00,Nottingham Forest FC vs. Liverpool FC: O/U 1.5,BUY,Over,0.81,30.0,epl-not-liv-2026-02-22-total-1pt5,epl-not-liv-2026-02-22-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,105291700770090444366318680141964145639126693424383400831571963075692127777058,0xda8c3fd761d56b1f9f06db1b3c1ef7fe00eb938220eebb7685bd89526a3c46a7,0x2b7b7bcc6daa3514667b3eaef6e8b88427b0db16c7feba8407afe75cd9ac3630
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,22/02/2026 00:12:38,CD Riestra vs. CA Huracán: O/U 3.5,SELL,Under,0.99,12.86,arg-rie-cah-2026-02-21-total-3pt5,arg-rie-cah-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,40550140127847419620838859715649802047499264751839970810436835184602042454480,0xbc15f6f16d97dd1be5efff4c09dad98b879286c87bb6f14479cf995fbb75f884,0x69ecd659f8e7ba839a1ab635a087dc9a3e978bde774b458a7cb9fa0fa5d90d5e
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 22:10:04,CA Banfield vs. CA Newell's Old Boys: O/U 3.5,BUY,Under,0.86,40.0,arg-ban-new-2026-02-21-total-3pt5,arg-ban-new-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,80682673907270828204381383162900503627963428716977370260015898777654295959702,0x4023771092c413431fe0c185261d188550ad18653302dc8d1b160d41fb395664,0x3bcf4dc9e3ab87134d40de044b3f764099cc88d4f0c7e19ad7c29c4b7366de7f
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 22:08:44,CA Platense vs. CA Barracas Central: O/U 3.5,SELL,Under,0.999,40.0,arg-pla-bar-2026-02-21-total-3pt5,arg-pla-bar-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,60570085792657120728077794534681623644650715298520373994587804830771674428452,0xe83051a775df78ca7e6e468babd314edeea379b0fceb50f7370c3c85e7474a5c,0x84a2f5528a8e996152ac57f02d9393f2ea383dac2771f69fc6125342e89383c1
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 22:07:44,CS Independiente Rivadavia vs. CA Independiente: O/U 4.5,SELL,Under,0.001,60.0,arg-riv1-ind-2026-02-19-total-4pt5,arg-riv1-ind-2026-02-19-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,29053586571218066746858391195583640715139554908266415514724063685886130020052,0x12ac0a86f8623508b67272783940fe214aea2c56290e4af545b87a0e2c283842,0xf2a9ed78db1d3ab40570abfb9c5b26671ae16bc935628b726a117f5d987ad48a
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 21:56:30,CD Riestra vs. CA Huracán: O/U 3.5,BUY,Under,0.92,45.0,arg-rie-cah-2026-02-21-total-3pt5,arg-rie-cah-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,40550140127847419620838859715649802047499264751839970810436835184602042454480,0xbc15f6f16d97dd1be5efff4c09dad98b879286c87bb6f14479cf995fbb75f884,0x3dd9abe5f1b5d3002ab8b54d636e997c81d46c14a9ba57762bc120d937a81151
